,title,main_body,link
0,河南省政府领导对省全民科学素质工作作出批示,近日，河南省副省长、省全民科学素质工作领导小组组长霍金花对河南省全民科学素质工作作出批示，要求素质办发挥好牵总作用，注重创新工作理念，改进工作方式方法，按照国家《纲要》目标要求，切实抓好年度工作任务的贯彻落实。2020年是全面建成小康社会和第一个百年奋斗目标决胜之年，是《全民科学素质行动计划纲要(2006—2010—2020年)》的收官之年，也是河南省各省辖市政府与省政府签订“十三五”目标责任完成情况的考核之年。河南省全民科学素质工作领导小组办公室计划会同30个成员单位及各地素质办，贯彻落实河南省委办公厅、省政府办公厅《关于加强新时代科普工作提升全民科学素质的意见》精神，共同推进强化党委政府联合协作的《科学素质纲要》实施平台、培育品牌科普活动新亮点、统筹推进重点人群科学素质行动、提高公民科学素质公共服务水平等四个方面30项具体工作任务；重点抓好《科学素质纲要》实施评估检查、全省各省辖市公民科学素质抽样调查、应急科普宣传、科普服务乡村振兴行动、科普信息化工程、“i科普”科技志愿服务行动等工作，努力在新的起点上推动河南全民科学素质工作迈上新台阶。,http://www.cast.org.cn/art/2020/3/28/art_80_117514.html
1,湖北省科协：在战疫中经受锤炼 在大考中完善服务,面对突如其来新冠肺炎疫情，湖北省科协坚决响应号召，动员组织党员干部先后下沉武昌区梅苑社区、硚口区团结社区，投入社区封闭管理服务及无疫情创建。一个多月与社区干部群众并肩作战，扛责任、经考验、讲协作、重服务，为夺取疫情防控斗争胜利作出应有贡献。全力战疫考验党性习近平总书记亲自决策部署，动员全党全军全国人民坚决打赢疫情防控的人民战争、总体战、阻击战。各级党组织党员干部冲锋应战，与人民群众众志成城、保障运转、捍卫家园，彰显了同舟共济、无往不胜的中国力量和中国精神。群众有需要，基层有困难，科协党员就要积极行动。湖北省科协党组书记叶贤林把疫情防控作为省科协第一要务，每周召集党组会专题研究，及时传达精神通报情况推进工作。2月5日，省科协进驻对接梅苑社区后，机关党委即向在职党员发出倡议，大家踊跃报名，一支30多人的先锋队迅速集结。有的同志上有老下有小，有的同志爱人已赴一线家里需人照顾，有的同志身体不适也说没影响，有的同志无车就借车拼车出行，本想照顾女同志但她们坚持要求参加。没机会上一线的同志，无论在单位值班值守还是宅家线上办公，都保障业务工作正常运转，不让一线同志心挂两头，还捎去暖心的防护品……平心而论，大家不是不知道新冠病毒传染的凶险，也不是没有过思想斗争，但还是挺身而出。因为自己是共产党员！是党员就不能只为了自己，是党员为了群众利益就要放下自身利益。大家相互加油鼓劲，一定要在这场大战中践行党员的初心使命，在大考中交出科协人的合格答卷。危难时刻见证担当湖北省科协机关位于武昌洪山路社区，与省科协第一批党员干部下沉的梅苑社区相距数公里，与第二批下沉的硚口团结社区相距约30公里。大家统一思想认识，如果说医院是救治病人的前沿战场，社区就是阻击病毒的后方阵地，肩负着内防扩散、外防输入输出、阻断传播的重任。只有“防”得牢，才能“控”得住，才能为“治”得好争取时间。为此，省科协坚决服从省市统一部署，使命必达，不挑不捡，指向哪儿就打到哪儿，需干什么就干什么，与时间赛跑，与病毒较量，严防死守，共同筑牢社区第一道防线。通过与社区对接，梅苑社区5200户、11200人；团结社区4610户、9800人。相比之下，团结社区是城中村和安居还建集中区、过去的城乡结合部，封控矛盾多，防疫压力会比较大。当时硚口区新增确诊人数又高居武汉各区之首。但越是距离远、任务重、难度高，越是对科协党员干部的考验和检验。,http://www.cast.org.cn/art/2020/3/24/art_80_117067.html
2,湖北省委领导充分肯定湖北省科协系统疫情防控工作,近日，湖北省委常委、统战部部长尔肯江˙吐拉洪听取省科协抗击新冠肺炎疫情工作情况汇报，充分肯定全省科协系统在疫情防控期间所做的大量工作，要求省科协按照习近平总书记视察湖北时的指示精神和省委工作要求，逐步把工作重点转移到夺取疫情防控和经济社会发展双胜利上来，努力展现湖北省科协新作为。疫情期间，湖北省科协广泛动员全省各级科协组织和科技工作者全力投入抗疫工作。一批医护工作者和科研工作者冲在一线，院士专家及时为科学抗疫提出意见建议，以“三长”为代表的科技工作者在基层战斗中发挥了生力军作用。各级科协组织大力开展应急科普，及时开展科学辟谣，宣传一线先进典型事迹，发动各级学会开展科技志愿服务。省市县三级科协党员干部响应号召，就地下沉社区，帮助开展管控和志愿服务，为打赢抗疫攻坚战贡献了科协智慧和力量疫情后期，湖北省科协将着力围绕疫情带来的各种社会风险隐患，动员和组织广大科技工作者，广泛开展有针对性的科学普及和心理疏导，科学精准防控疫情，及时妥善应对和化解风险隐患，助力有序复工复产，为维护社会稳定作出更大贡献。,http://www.cast.org.cn/art/2020/3/23/art_80_117399.html
3,内蒙古自治区党委领导对科协工作要点作出批示,3月12日，内蒙古自治区党委副书记、政法委书记林少春在内蒙古科协报送的2020年工作要点上作出批示，指出内蒙古科协2020年各项工作安排系统全面、重点突出、责任明确、措施有力，要求下一步抓好落实工作。2020年，内蒙古科协将着力强化对科技工作者的政治引领，抓好科协系统党员干部和科技工作者的学习培训，全面加强机关和学会党建工作，大力弘扬爱国奋斗精神；着力履行“四服务”职责定位，广泛开展高水平学术交流活动，建好用好科技工作者之家，提升学会服务创新能力，服务和支持企业创新发展，大力开展科普传播，加强科普设施建设，加快科普信息化建设步伐，做好建言献策工作，打造国内一流学术期刊；着力提升服务保障能力，深化科协系统改革，强化基层组织建设，打造专业化干部队伍，加强和改进工作作风，团结引领广大科技工作者奋力谱写新时代科协事业新篇章，为内蒙古自治区高质量发展做出新的贡献。,http://www.cast.org.cn/art/2020/3/20/art_80_116922.html
4,江西省科协《决策咨询专报》获省领导批示,近日，江西省政协主席姚增科，江西省委常委、省委秘书长赵力平对江西省科协主办并报送的2020年第3期《决策咨询专报》“抓住机遇加快江西优质中药材发展的建议”分别作出批示。江西省科协委托资助省林科院森林药材与食品研究所课题组，在深入调研分析防治新冠肺炎对赣产药材的需求与趋势基础上，形成了“抓住机遇加快江西优质中药材发展的建议”决策咨询专报，提出要积极防控疫情，把握政策，关注行业动态；要分析市场，加强市场分析，提升“做好药”认识，从供给侧需求选择品种生产好药，引导加强产业链衔接，适应新业态；利用江西具有较好中药制药企业和樟树药材市场等优势，通过政府扶持政策，推动从中药材生产到饮片加工生产规范化规模化，再到制药生产、产品销售以及拓展健康服务全产业链发展，做出中医药发展“江西模式”;要有序复工，做好春季药材生产管理等建议。,http://www.cast.org.cn/art/2020/3/18/art_80_116634.html
5,江西省委领导对省科协《决策咨询专报》作出批示,近日，江西省委常委、省委秘书长赵力平对江西省科协主办并报送的2020年第1期《决策咨询专报》“协同推进我省深贫地区脱贫攻坚与乡村振兴战略实施的对策建议”作出批示。 江西省科协组织、资助江西农业大学课题组，在深入深贫地区调研、开展学术研讨的基础上，提出了以“乡村振兴”为统领，协调推进深贫区脱贫攻坚;以产权制度改革为重点，激发村级集体经济活力;以发展扶贫产业为抓手，让扶贫成果惠及贫困群众;以“扶智强志”为动力，增强群众脱贫内生动力; 以高质量发展为目标，完善脱贫致富长效机制;以全程绩效管理为依托，探索创设“政策实验区”;以加强基层党建为保障，全面优化乡村综合治理等对策建议并形成专报，报送省领导和有关部门参考。,http://www.cast.org.cn/art/2020/3/17/art_80_116714.html
6,浙江省科学技术普及条例进入立法议程,日前，浙江省人大常委会办公厅正式印发《浙江省人大常委会2020年立法计划实施方案》（以下简称《方案》），《浙江省科学技术普及条例》被列入2020年省人大立法调研项目，并明确了省人大有关专门（工作）委员会、省有关部门负责人和联系人。这标志着浙江省科普立法正式进入立法议程。2018年以来，由浙江省科协牵头，组成课题组，正式启动开展浙江省科普立法调研工作。2019年5月省科协专门成立了科普立法调研起草工作领导小组、专家咨询组和起草工作组，由包括浙江大学、中国科普研究所、中国科学技术大学、浙江立法研究院专家、学者在内的法律、科技和科普三方面人员组成。课题组和起草工作组先后赴杭州、宁波、湖州、嘉兴、衢州、丽水等地，就科普立法工作现状、制定浙江省科普条例的必要性和可行性、需要解决的主要问题等进行调研，围绕浙江科普立法中的重点难点问题，开展六个方面的专题研究，并与广东省科协进行座谈交流。经过近两年的调研起草、广泛征求意见、修改论证，数易其稿，形成了《浙江省科学技术普及条例（草案建议稿）》和立法可行性报告，为浙江省科普立法奠定了基础。2019年5月17日，课题组和起草工作组专程赴中国科普研究所就《浙江省科学技术普及条例（草案建议稿）》进行咨询。浙江省人大法制委、省人大教科文卫委、省司法厅、省科技厅等部门十分重视科普立法工作，多次听取科普立法汇报，并将其列入省人大常委会“十三五”立法目录。浙江省委常委、组织部长黄建发在专题听取群团防疫工作汇报时强调，要以此为契机加快科普立法推进力度，让科学走进千家万户，全面提高浙江省公民的科学素养。浙江省科协根据《方案》要求，计划组织工作专班，加强与省人大专门（工作）委员会、省有关职能部门沟通，做精做细做实调研、论证和起草、修改等工作，推进浙江省科普条例早日出台。,http://www.cast.org.cn/art/2020/3/16/art_80_116397.html
7,福建省科协凝聚科技力量助力抗疫复工,新冠肺炎疫情发生以来，福建省科协积极发挥群团组织优势，广泛团结动员全省科技工作者各尽所长、迎难而上，为打赢疫情防控阻击战和复工复产提供科技支撑。动员科技人才，投身抗疫一线福建省科协向全省广大科技工作者发出抗击疫情倡议，省医学会、省护理学会、省药学会等多个涉医学会组织40余位专家参与组建省级疫情防控分析研判专家组，大量学会专家骨干、医务人员驰援湖北。福建省科协常委、福建医科大学附属第一医院院长康德智率领福建省对口支援湖北宜昌的前方指挥部和首批医疗队出征宜昌，参与一线救治工作。同时，省科协广泛组织动员科协系统党员干部职工，组建抗疫支援小分队赴福建省莆田市城厢区灵川镇，进村入企协助基层和企业抗击疫情、恢复正常生产生活秩序。加强科技攻关，解决抗疫难题中国科学院院士、中国工程科技发展战略福建研究院学术委员会委员洪茂椿组织研制基于稀土纳米探针的新型冠状病毒IgM/IgG抗体即时检测试剂盒，具有快速、便捷、安全等优点。福建省晋江市医院院士专家工作站通过远程会诊平台，邀请合作院士、国家卫健委高级别专家组成员、传染病诊治国家重点实验室主任李兰娟，进行疫情专题解读，并在线解答疑难问题。厦门环创科技与中国工程院院士陈勇共建的“环保先进装备制造”院士专家工作站，紧急启动医疗废弃物清洁热处置设备的研发与制造工作，助力解决湖北防疫一线医疗垃圾处理难题。福建正扬科技股份有限公司与两院院士李德仁共建的院士专家工作站，迅速组织科研人员日夜攻关，研制出一款红外人体感应检测语音警示仪，并捐赠给疫情防控一线，提高防控效率。厦门亿力吉奥信息科技有限公司与国家卫星定位系统工程技术研究中心主任刘经南院士共建的院士专家工作站，迅速研发出疫情专题图，提供疫情动态精准自查、全国防疫发展趋势动态演变、预防及就医指引等服务，让社会公众做到“疫情有数，防控有术”。,http://www.cast.org.cn/art/2020/3/13/art_80_116262.html
8,河南省政协领导调研省科技馆新馆项目复工复产和疫情防控工作,3月6日，河南省政协副主席高体健一行赴河南省科技馆新馆建设工地，就河南省科技馆新馆项目复工情况和更好发挥科协在打赢新冠肺炎疫情防控阻击战的作用进行调研。全国政协委员、河南省政协副秘书长张广东，省政协常委、教科卫体委员会主任杨丽萍，省政协委员、教科卫体委员会副主任李新中，全国政协委员、农工党省委专职副主委花亚伟，省政协常委、河南中医药大学第一附属医院副院长李素云，省政协常委、省人民医院脑血管病医院副院长马建军等一同调研。河南省科协党组书记、主席曹奎，副巡视员杨金河等参加调研。1.jpg高体健一行先后参观科技馆新馆项目智慧工地展厅，观看新馆建筑模型，听取项目参建单位关于新馆项目建设情况、BIM先进技术应用介绍，到实地查看现场施工情况，并召开座谈会，听取河南省科协、参建单位关于疫情防控、复工复产等汇报。高体健在讲话中说，河南省政协十分关注省科技馆新馆建设，新馆工地的疫情防控、复工复产情况、建设进度都令人鼓舞。下一步要进一步抓好质量安全和健康安全，高标准设计，高质量施工，把新馆建设成为一流工程、地标工程、样板工程。希望新馆展陈内容建设丰富健康科普内容，建设生命健康馆，使之成为对公众进行健康教育的重要阵地。高体健强调，河南省科协要贯彻落实习近平总书记关于新冠肺炎疫情防控一系列重要讲话、指示精神，做好应急科普工作。要推进科技创新与科学普及的有效衔接，科技创新每前进一步，科学普及都要及时跟上。要打造智能科普，利用信息技术手段，丰富科普形式和内容。要组织权威科学家做科普，用科学稳人心、强信心。要针对领导干部及公务员、医护人员、社区居民等不同对象，分层分类、精准推送，提高科普的有效性。曹奎汇报了河南省科协统筹推进新冠肺炎疫情防控和服务经济社会发展工作情况。参与调研的政协委员对进一步做好疫情防控、丰富科技馆新馆的展陈内容等提出建设性意见。,http://www.cast.org.cn/art/2020/3/12/art_80_116448.html
9,山东省科协：基层“三长”抗疫一线显力量,新冠肺炎疫情发生以来，山东省科协广泛动员全省科技工作者各尽所长、迎难而上，为坚决打赢疫情防控人民战争提供坚强科技支撑。在科协基层组织兼挂职的全省1396名基层医院院长、学校校长、农技站站长等科技战线上的“关键人物”，面对突如其来这场重大疫情，积极响应中国科协和山东省科协号召，主动担当，在落实防控责任、投身防控实践、普及防控知识等方面打头阵、当先锋，构架起一面面基层防控疫情的“科技盾牌”。 “疫”来吹响冲锋号 山东省科协把“三长”作为发挥科技界优势的“关键部署”，及时印发《关于在疫情防控工作中充分发挥基层科协“三长”作用的通知》，积极引导“三长”担负起落实部署，宣传政策，开展医疗、科研、科普等疫情防控的重要使命。 郓城县郭屯镇科协委员、县第四人民医院党支部书记魏登芹带领医院25名在职党员纷纷写下行动书，重温入党誓词，义无反顾投身疫情防控一线。莒南县大店镇科协主席李国梁用行动感召同为医生的女儿，生动演绎了“上阵父女兵 携手战恶疫”的佳话。曾参与2003年非典防控工作的青岛西海岸新区王台镇科协副主席王德克，号召全院党员冲锋在前、身先士卒，119名医护人员主动请缨，纷纷提交请战书。 担起卫生防疫重任 扶危渡厄，医者担当。“三长”中的医院院长站在了抗击疫情的前线。 日照市岚山区岚山头街道兼职科协副主席、社区卫生服务中心主任陈祥胜带队组成由11名业务骨干组成的密切接触者医学隔离观察工作小组，带头参与基本医疗、健康宣教、心理疏导等工作。滕州市东沙河镇科协副主席、镇卫生院副院长邱四侠连续十几天战斗在一线，精准摸排出疫情防控的流程和工作方法。临沂市兰山区方城镇科协副主席、方城中心卫生院院长张伟带领全体医务工作者紧盯防控一线，科学防控、精准调度，确保筑牢疫情防控第一道防线。淄博市博山区域城镇科协副主席、区中医院副院长孙静忍着脚跟骨折的病痛，带领全体员工加班加点，做好预检分诊、发热门诊、社会随访等各项工作。济南市历下区科协主席、党支部书记李长征，组织辖区医疗、卫生战线党员志愿者落实联防联控措施，主动站第一岗、冲第一线，轮流值守，果断处置情况，辖区保持防疫秩序井然。 回应社会公众关切 基层“三长”充分发挥科技工作者在防控疫情方面的权威性和公信力，立足专业优势和平台，深入开展疫情防控科普，帮助群众正确认识疫情、冷静应对疫情、科学防控疫情。 临清市科协兼职副主席、市第二职高副校长王瑞森发挥科技创新教育实践基地的力量，发动科技辅导员利用网上课,http://www.cast.org.cn/art/2020/3/12/art_80_116061.html
