,title,main_body,link
0,“科技传播助力企业发展”网上路演行动工业大数据专场举办,3月19日下午，“科技传播助力企业发展”网上路演行动第4期--“工业大数据”专场活动成功举办，100余家投资机构代表观摩了路演，华山资本等40多家机构会后与路演项目进行了深入对接交流。本次专场旨在支持助力工业大数据领域中小企业在抗击新冠肺炎疫情、打赢防控阻击战的关键时期渡过难关，在经济社会发展中发挥更大作用。活动中，殷泊科技创始人鲁为民、云城数据创始人王轶捷、中科云创创始人周北川、江萃智能副总季建华进行了线上路演展示。殷泊科技是智能云平台产品和服务提供商，基于自主专利技术的“智能化PaaS云平台系统”得到业界认可。云城数据是一家提供企业级数据管理及应用服务的高新技术企业，此前面向大中华地区及海外受疫情影响地区，推出远程诊疗方案，缓解了诊疗资源压力。中科云创是专业的工业互联网应用平台服务商，应用案例已经覆盖消防、港口等十个行业领域，数据积累数千亿条。汇萃智能由美、日等海归专家创立，研发出了具有完全自主知识产权的通用视觉底层完整算法库。中国科协科技传播中心主任郑浩峻、中国投资协会副会长沈志群等作为主办方代表参加了会议。华山资本董事总经理官明杰、毅达资本合伙人周喆等投资机构代表进行了观摩互动，就进一步完善和优化企业经营管理、提升企业资产价值、提高市场核心竞争力等方面提出了一系列专业建议。清华大学数据科学研究院原执行副院长韩亦舜、清华大学数据科学研究院RONG研究员颜强等作为专家代表，结合路演项目的技术路线、产业特点和行业发展趋势进行了点评交流。本次活动由中国科协科技传播中心、中国投资协会创投委主办，清华校友三创大赛组委会等联合主办，优客工场、清华校友总会AI大数据专委会、中国科技产业化促进会AI大数据专委会、清数大数据产业联盟和创头条协办。“科技传播助力企业发展”网上路演行动依托“蝌蚪众传”、创头条等传播平台，旨在发挥传播优势，助力服务科技型企业，尤其是科技型中小企业的成长发展，用科技的力量为企业抗疫驰援，为产业振兴赋能。,http://www.cast.org.cn/art/2020/3/21/art_80_116930.html
1,“科技传播助力企业发展”网上路演行动—信息技术专场举办,“科技传播助力企业发展”网上路演行动—信息技术专场举办,http://www.cast.org.cn/art/2020/3/16/art_80_116393.html
2,科协人战“疫”时刻，抗“疫”中的巾帼担当,庚子春节，本该阖家欢聚、走亲访友的人们却停下了脚步，曾经车水马龙、喧嚣繁华的街道变得冷清，医务工作者不舍昼夜从死神手中争夺一个个生命，科技工作者夜以继日从试验研究中探寻消灭病毒的对策方案。新冠肺炎这场风暴一瞬间席卷全国，一场没有硝烟的战争打响。 面对突如其来的疫情，无数科协人挺身而出，逆行而上。在这支抗疫军团中，有一道最亮丽的风景，她们是慈祥的母亲、是温柔的妻子、是乖巧的女儿，而今天，她们都是疾风骤雨显本色、乱云飞渡仍从容的科协娘子军。 从蜜月中奔赴抗“疫”战场 “没问题，我请求立即返回工作岗位。”听到疫情蔓延的消息，刚刚新婚不久的中国科协机关服务中心医务室李晓旭没有丝毫犹豫，当即放弃新婚假期，主动请缨，担负起疫情防控工作牵总职责，即刻投入到疫情防控工作中。 “口罩7080只、代茶饮300袋、75%医用消毒酒精221L、84消毒液219L、免洗手消毒液210瓶、二氧化氯消毒剂1箱、额温枪16支、电子体温计10支、水银体温计60支、护目镜32个、医用检查橡胶手套1400副。”短短数天时间，李晓旭协调上下、沟通内外，紧密联系中直管理局、国管局、全国学会、属地相关单位及各类社会资源，累计采购防护物资16批次，有力保障了中国科协春节在岗值班值守人员及离京人员的防护安全。 春节假期结束后，中国科协机关各部门、各直属单位干部职工从全国各地陆续返京到岗，李晓旭又组织医务室人员严格落实体温监测工作，坚持每日早晚巡查各体温监测点，并随机抽查，累计监测体温991人次，无一人漏检。 “老老实实呆在家中，就是对自身最好的防护”，这一大家都熟知的道理，在李晓旭身上却难以实现。自1月21日至今，李晓旭坚持 “24小时在线”保障防控工作。在春节后大家实行弹性上班制、严格控制外出的非常时期，李晓旭却需要全程到岗，并随时外出采购应急防控物资。为了降低同事们外出交叉感染的风险，遇周末、节假日采购，便开私家车前往，新婚丈夫就成了“专职采购司机兼搬运工”。 “我是一名党员，又是一名医务工作者，这时就该冲在前面。”李晓旭是这样说的，也是这样做的。疫情防控工作期间，李晓旭因过度疲劳导致严重感冒咳嗽不断。她克服身体和心理上的双重压力，一刻不耽误、一刻未停歇，全身心忘我投入工作，以坚定的信心和持久的耐心，带动医务室同事们深入一线，为中国科协疫情防控工作提供了有力的保障。,http://www.cast.org.cn/art/2020/3/8/art_80_115581.html
3,科技传播助力企业发展”网上路演行动“生物医药”专场举办,3月5日下午，“科技传播助力企业发展”网上路演行动第2期活动--“生物医药”专场举办。行动旨在深入贯彻习近平总书记关于新型冠状病毒肺炎疫情防控工作的重要指示精神，全面落实党中央、国务院系列决策部署和中国科协相关工作安排，发挥科技传播特色优势，支持科技企业复工复产，助力企业抵御疫情影响。北京雅康博生物科技有限公司副总裁赵鲁汀、北京华龛生物科技有限公司联合创始人CEO刘伟、广州盛泽康华生物医药有限公司CEO黄静峰等项目负责人进行线上路演展示，介绍企业核心竞争力、技术先进性和下一步融资计划。德同资本北京总经理许谦、国科嘉和合伙人陈洪武等近百位投资人进行项目互动和观摩，多位嘉宾表达了与项目继续开展深入对接的意向。华润生命科学集团总经理颜建国对路演项目在技术先进性、项目成熟度、团队完整性等方面给予肯定，并表示会结合华润生命科学集团资源，进一步助力科技项目成长。中国科协科技传播中心主任郑浩峻、中国投资协会副会长沈志群、清华校友三创大赛秘书长梅晓鹏等作为主办方领导代表参加活动，清华大学生命科学学院院长王宏伟、清华校友生命科学与医疗健康专委会秘书长余永平等作为专家代表，结合路演项目的技术路线、产业特点和行业发展趋势进行了点评交流。郑浩峻表示，中国科协科技传播中心联合各方开展“科技传播助力企业发展”网上路演行动，将充分发挥科协开放型、枢纽型、平台型组织优势，打造多方协同创新、资源共建共享的常态化平台。通过选拔高质量科技项目，对接行业头部企业、科技创投机构，助力科企成长和防疫抗疫，促进科技经济深度融合发展，为创新驱动发展服务。沈志群表示，在非常时期开展生物医药专场路演意义非凡，生物医药行业也是中国创业投资行业的重点关注领域，希望能够通过此次活动的开展，努力改善投融资市场信息不对称的问题，真正探索出一条实现资本项目有效对接的途径。王宏伟表示，这次疫情是近代以来人类社会共同面临的一次严峻考验，现在很多科学家都在从事相关药物的研发，无论是抗病疫苗还是新药研制等方面都有很多进展，希望通过今天的路演更好助力科技成果转化。,http://www.cast.org.cn/art/2020/3/7/art_80_115565.html
4,科技传播助力企业发展”网上路演行动“生物医药”专场举办,"3月4日，中国科协定点扶贫领导小组办公室2020年第一次会议召开,中国科协副主席、书记处书记、定点扶贫领导小组副组长孟庆海出席会议。中国科协定点扶贫领导小组办公室全体成员，以及山西省吕梁市科协、定点扶贫县科协主要负责人，中国科协派驻定点扶贫县挂职副县长、驻村第一书记等参加会议。36.jpg会议以视频形式召开,听取了中国科协定点扶贫2019年工作总结及2020年工作安排的情况汇报，讨论交流了开展定点扶贫工作经验体会和下一步工作思考和建议，中国科协派驻定点扶贫县挂职干部和驻村第一书记汇报了县里和村里疫情防控、复工复产有关情况。会上，孟庆海作总结讲话，肯定了2019年中国科协定点扶贫工作成绩，对中国科协定点扶贫下一步工作和2020年工作重点做出部署安排。他强调，今年中国科协定点扶贫工作不松劲儿、任务指标不降低，要坚决完成各项任务目标。一是积极应对新冠肺炎疫情对脱贫攻坚的影响，统筹做好定点扶贫县的疫情防控和脱贫攻坚工作，使定点扶贫县的脱贫成果经得起脱贫攻坚普查考验；二是继续抓好今年项目实施，早安排早启动，优化项目评审办法，提升项目设计能力；三是继续做好大合唱，与吕梁市形成合力，齐心协力做好定点扶贫收官；四是认真总结中国科协定点扶贫35年成效经验，讲好中国科协定点扶贫故事，讲颂我国脱贫攻坚伟大成就和中国故事；五是开好全国科技助力乡村振兴论坛，做好科技助力脱贫攻坚收官与科技助力乡村振兴的衔接。",http://www.cast.org.cn/art/2020/3/6/art_80_115419.html
5,“新冠肺炎知识与数据信息系统”推动无国界无歧视无障碍学术交流,新冠肺炎疫情发生以来，中国科协联合国咨商专家各尽所长，主动应对，积极为防疫抗疫贡献力量。中国科协联合国咨商生命科学与人类健康专委会(CCLH专委会)和通讯与信息技术专委会 (CCIT专委会)共同建立了“新冠肺炎知识与数据信息系统”， 力争运用大数据、人工智能等数字技术服务抗击疫情。 “新冠肺炎知识与数据信息系统”收录来自世界卫生组织的文件、科学文献和科学数据等，并将英文资料翻译成中文资料。同时，主动向联合国系统、国际科技组织介绍疫情防控进展，推动无国界无歧视无障碍学术交流。目前，这批资料已经上线公开发布，用户量和阅读量迅速攀升。 中国国际科技交流中心作为中国科协联合国咨商工作办公室，正在联合百度推动这批科学数据和文献信息作为优质科普资源，为更多公众所了解。,http://www.cast.org.cn/art/2020/3/4/art_80_115146.html
6,浙江省领导专题考察抗疫心理热线服务情况,2月26日，浙江省副省长王文序赴浙江康复医疗中心督查复工复产相关事宜，慰问坚守一线的工作人员，并专题考察了抗疫心理热线的接听情况。王文序听取了浙江省心理卫生协会理事长关于近期接听抗疫心理热线的情况汇报，以及省教育厅、省心理卫生协会与浙江康复医疗中心共同开展浙江省学生心理诊疗的情况，充分肯定了该项工作。她指出，目前浙江的疫情防控形势逐渐转好，全省范围内开始有序复工复产，当前，疫情防控和复工复产，两手都要抓，两手都要硬。她要求，坚守在抗疫一线的工作人员要继续把目前的工作做得更扎实、更有效。http://www.zast.org.cn/picture/0/s465f0846fafc4dd18735cefcb599f388.jpg自疫情发生以来，浙江省心理卫生协会在省科协的指导下，主要从以下几方面开展工作：一是热线服务，省心理卫生协会接受多方委托，与浙江康复医疗中心合作开通抗疫心理热线4条；二是科普知识宣传，通过科普文章、科普视频等形式，将心理学知识和心理自我调节的技术，传递给社会公众；三是为一线医护人员提供专业化的心理服务，特别关注医护人员返回浙江后的心理健康状况。,http://www.cast.org.cn/art/2020/3/3/art_80_114898.html
7,中国科普作家协会：科普创作战疫情,新冠肺炎疫情发生以来，中国科普作家协会按照中国科协及中国科协科技社团党委的具体要求，广泛动员，发挥中国科普创作专家队伍的资源优势，搭建平台，为抗击疫情贡献力量。搭建抗疫科普资源平台协会组织开展“抗击新型冠状病毒肺炎疫情”相关主题的科普创作支持计划，并建立“秘书处初审—专家审核—党委审定—书记签发—网上推送”的快速工作机制。截至2月19日，该计划征集作品300余部，包括科普文章、图书、动画、漫画、绘本、挂图、科普相声和脱口秀、科普歌曲、科普表情包等多种类型的作品。作品通过中国科普作家协会的官方网站、微信公众号、官方微博等平台推送，点击量和转发量合计超过90万次。协会与中国科普研究所联合抖音和西瓜视频等平台，推出“DOU知计划——抗疫科普资源包”专题版块，资源包以短视频为主，内容包括科学防护、科学辟谣、权威发布、心理疏导、抗疫必胜等5大主题。截至2月24日，首批通过审核的204部短视频全部上线，协会网站点击量近10万次。武汉市科协等10余家单位纷纷下载视频进行抗疫宣传，抖音、西瓜平台也进行重点推送。截至2月19日，总计播放量近3000万，点赞量90多万。发挥专业优势服务抗疫由协会牵头组织，协会医学科普创作专业委员会主任、同济大学附属东方医院赴武汉国家紧急医学救援队副领队王韬，在一线开展医疗救治的同时，编写《疫情来临时，新型冠状病毒居家防护指南》向社会发布，人民网、人民日报客户端、健康时报、学习强国进行转发；协会农业科普创作专业委员向社会免费开放“智汇三农”农业专业知识服务平台，并面向广大农村地区组织创作系列疫情防控读物和挂图；协会科学文艺专业委员会主任吴岩举办网络讲座《科幻作品中瘟疫的长长影子》；科普演讲专业委员会联合中国科协青少年科技活动中心，围绕网络科普系列课程进行专题研讨。组织联动开展科普创作协会单位会员湖北省科普作家协会快速组织出版《新型冠状病毒肺炎预防手册》《写给孩子的病毒简史》等系列科普读物并免费上线，供公众阅读。单位会员湖南省科普作家协会主动承担湖南省科协的新冠肺炎防控知识应急科普宣传专项课题，在7天时间里组织编写出版《新型冠状病毒感染的肺炎防控知识100问》《新型冠状病毒感染校园防控手册》《新型冠状病毒肺炎大众防控与心理疏导》等3本科普书籍，免费上线供公众阅读；通过公众号开设抗疫科普专栏、建立心理援助热线、开展舆情跟踪与科普辟谣等。单位会员上海市科普作家协会鼓励团体会员单位创作原创科普产品。,http://www.cast.org.cn/art/2020/3/3/art_80_114883.html
8,党建引领冲锋在前——记奋战在疫情防控工作中的中国科协党员党组织,新冠肺炎疫情发生以来，中国科协机关和直属单位100多个党组织坚决贯彻以习近平同志为核心的党中央重大决策部署，沉重应对，迎难而上，确保机关单位零疫情、日常工作不掉线。在这场没有硝烟的战斗中，中国科协1000多名党员关键时刻冲得上去、危难关头豁得出来，充分发挥先锋模范作用，竭尽全力为打赢疫情防控人民战争、总体战、阻击战贡献力量。做强应急科普中国科协党组第一时间成立应急科普工作领导小组，举“一体两翼”之力全方位开展应急科普工作，确保当前各项工作为打赢疫情防控阻击战提供支持。科普部党支部副书记郑凯出于科普人的职业敏感和党员领导干部守土担责的岗位意识，早在2019年12月便带队与科普中国、科学辟谣平台团队研究应对措施，与国家卫健委、疾控中心加强对接，联系有关全国学会强化专家储备，并果断取消与家人离京休假计划，做好关键时刻能顶得上的准备。张斌、范宣涛、林昀、包晗、刘鑫、李伟元等同志坚守领导小组办公室岗位，日夜奋战，不辞辛苦，落实固定联系人制度和工作日报制度，积极发挥参谋助手作用。中国科普研究所党总支深化党建业务融合，组织第一党支部、第四党支部通过全民科普行动“DOU知计划”助力抗疫。两支部迅速整合精干力量，安排钟琦、胡俊平、李姗姗等党员同志靠前攻关，给马崑翔、邹贞等青年理论学习小组成员压担子，激发年轻同志创造力、战斗力，实现资源、队伍优势互补，紧急完成“抗疫科普资源包”的制作和上线任务。中国科技馆党委想在前做在先，自1月22日发出“抗击疫情、科普先行”号召后，编发《抗击疫情中国科技馆在行动》简报29期，宣传表现突出党员近百人，有力推动“两个作用”充分发挥。中国科技馆党委委员欧建成挺身而出，春节期间主动前往馆里值班，调度展览教育中心和古代科技展览部利用科普视频课和微信文字传达等方式开展展教活动，联动精准施策、线上科普抗疫。廖红、任海宏、齐欣、魏丹波、任贺春、韩景红等同志冲锋在前，各尽其职，为推动科技馆行业联防联控、加强科普产品设计和供给、筑牢馆区安全防线保驾护航。展览设计中心和网络科普部17名党员、干部顽强拼搏，仅用10天时间就制作推出“新的对决——疫情防控阻击战网络展览”。中国科学技术出版社第二党支部党员主要来自编辑业务部门、总编室和生产管理部，所联系的职工群众多为生产一线的业务骨干，是应急科普工作的中坚力量。支部书记符晓静及赵晖、崔玲、李洁、张敬一、王晓平、马宇晨等党员同志主动请缨、以身作则，团结带领职工群众加班加点。,http://www.cast.org.cn/art/2020/3/2/art_80_114548.html
9,中国科协党组领导慰问直属单位干部职工,近日，中国科协党组领导徐延豪、王守东分别深入直属单位了解疫情防控、恢复正常工作秩序情况，看望慰问干部职工，鼓励党员、干部主动担当作为，共克时艰。同时为直属单位赠送急需的防护口罩。办公厅主任王进展、机关党委常务副书记李志刚、科技社团党委书记刘亚东等分别一同慰问。image002.jpg2月25日、26日，徐延豪同志带队先后到中国科学技术出版社办公区、白家庄办公区和北辰办公区调研疫情防控、慰问职工。2月20日、25日，王守东同志带队先后到魏公村办公区和创新战略研究院（北办公区）调研疫情防控、慰问职工。徐延豪、王守东同志每到一个单位，都深入每个楼层，从职工上班体温检测、清洁消毒、工位防护、午间就餐、防护物资保障和工作开展等方面，深入了解疫情防控具体情况，向职工询问防护需求和存在的困难，了解未返京职工特别是湖北未返京职工情况，认真听取疫情防控工作的典型人典型事。,http://www.cast.org.cn/art/2020/2/29/art_80_114497.html
