title,main_body,link
物联网,物联网，万物互联，融合，互联生态，一体化，LOT，ALOT，车联网，车载，智能家居，,https://www.ccc.com
云计算,云计算，云服务，云空间，云端，云盘，数据中心，,https://www.ccc.com
大数据,大数据，大规模，并行，数据集，数据量，海量，多种，形态，数据中心，高效，快速,https://www.ccc.com
人工智能,人工智能，机器学习，深度学习，预测，辨别，识别，自动，人脸，AI，算法，NLP，人工神经网络,https://www.ccc.com
工业互联网,工业互联网，生态，工业APP，边缘计算，区块链，窄带物联网，产业，供给，资源池，服务商，IPV6,https://www.ccc.com
信息安全,信息安全，网络空间安全，解码，解密，加密，保密，公钥，密码，安全性，风险，危险，漏洞,https://www.ccc.com
智能制造,智能制造，信息，深度，自感知，智慧优化，自决策，精准，控制，自动化，工厂，模式,https://www.ccc.com
集成电路,集成电路，电子，元件，器，光电，仪器，芯片，机，核，传导，半导体，信号，系统,https://www.ccc.com
测试位点,测试内容,https://www.fakelink.com
河南省政府领导对省全民科学素质工作作出批示,近日，河南省副省长、省全民科学素质工作领导小组组长霍金花对河南省全民科学素质工作作出批示，要求素质办发挥好牵总作用，注重创新工作理念，改进工作方式方法，按照国家《纲要》目标要求，切实抓好年度工作任务的贯彻落实。2020年是全面建成小康社会和第一个百年奋斗目标决胜之年，是《全民科学素质行动计划纲要(2006—2010—2020年)》的收官之年，也是河南省各省辖市政府与省政府签订“十三五”目标责任完成情况的考核之年。河南省全民科学素质工作领导小组办公室计划会同30个成员单位及各地素质办，贯彻落实河南省委办公厅、省政府办公厅《关于加强新时代科普工作提升全民科学素质的意见》精神，共同推进强化党委政府联合协作的《科学素质纲要》实施平台、培育品牌科普活动新亮点、统筹推进重点人群科学素质行动、提高公民科学素质公共服务水平等四个方面30项具体工作任务；重点抓好《科学素质纲要》实施评估检查、全省各省辖市公民科学素质抽样调查、应急科普宣传、科普服务乡村振兴行动、科普信息化工程、“i科普”科技志愿服务行动等工作，努力在新的起点上推动河南全民科学素质工作迈上新台阶。,http://www.cast.org.cn/art/2020/3/28/art_80_117514.html
湖北省科协：在战疫中经受锤炼 在大考中完善服务,面对突如其来新冠肺炎疫情，湖北省科协坚决响应号召，动员组织党员干部先后下沉武昌区梅苑社区、硚口区团结社区，投入社区封闭管理服务及无疫情创建。一个多月与社区干部群众并肩作战，扛责任、经考验、讲协作、重服务，为夺取疫情防控斗争胜利作出应有贡献。全力战疫考验党性习近平总书记亲自决策部署，动员全党全军全国人民坚决打赢疫情防控的人民战争、总体战、阻击战。各级党组织党员干部冲锋应战，与人民群众众志成城、保障运转、捍卫家园，彰显了同舟共济、无往不胜的中国力量和中国精神。群众有需要，基层有困难，科协党员就要积极行动。湖北省科协党组书记叶贤林把疫情防控作为省科协第一要务，每周召集党组会专题研究，及时传达精神通报情况推进工作。2月5日，省科协进驻对接梅苑社区后，机关党委即向在职党员发出倡议，大家踊跃报名，一支30多人的先锋队迅速集结。有的同志上有老下有小，有的同志爱人已赴一线家里需人照顾，有的同志身体不适也说没影响，有的同志无车就借车拼车出行，本想照顾女同志但她们坚持要求参加。没机会上一线的同志，无论在单位值班值守还是宅家线上办公，都保障业务工作正常运转，不让一线同志心挂两头，还捎去暖心的防护品……平心而论，大家不是不知道新冠病毒传染的凶险，也不是没有过思想斗争，但还是挺身而出。因为自己是共产党员！是党员就不能只为了自己，是党员为了群众利益就要放下自身利益。大家相互加油鼓劲，一定要在这场大战中践行党员的初心使命，在大考中交出科协人的合格答卷。危难时刻见证担当湖北省科协机关位于武昌洪山路社区，与省科协第一批党员干部下沉的梅苑社区相距数公里，与第二批下沉的硚口团结社区相距约30公里。大家统一思想认识，如果说医院是救治病人的前沿战场，社区就是阻击病毒的后方阵地，肩负着内防扩散、外防输入输出、阻断传播的重任。只有“防”得牢，才能“控”得住，才能为“治”得好争取时间。为此，省科协坚决服从省市统一部署，使命必达，不挑不捡，指向哪儿就打到哪儿，需干什么就干什么，与时间赛跑，与病毒较量，严防死守，共同筑牢社区第一道防线。通过与社区对接，梅苑社区5200户、11200人；团结社区4610户、9800人。相比之下，团结社区是城中村和安居还建集中区、过去的城乡结合部，封控矛盾多，防疫压力会比较大。当时硚口区新增确诊人数又高居武汉各区之首。但越是距离远、任务重、难度高，越是对科协党员干部的考验和检验。,http://www.cast.org.cn/art/2020/3/24/art_80_117067.html
湖北省委领导充分肯定湖北省科协系统疫情防控工作,近日，湖北省委常委、统战部部长尔肯江˙吐拉洪听取省科协抗击新冠肺炎疫情工作情况汇报，充分肯定全省科协系统在疫情防控期间所做的大量工作，要求省科协按照习近平总书记视察湖北时的指示精神和省委工作要求，逐步把工作重点转移到夺取疫情防控和经济社会发展双胜利上来，努力展现湖北省科协新作为。疫情期间，湖北省科协广泛动员全省各级科协组织和科技工作者全力投入抗疫工作。一批医护工作者和科研工作者冲在一线，院士专家及时为科学抗疫提出意见建议，以“三长”为代表的科技工作者在基层战斗中发挥了生力军作用。各级科协组织大力开展应急科普，及时开展科学辟谣，宣传一线先进典型事迹，发动各级学会开展科技志愿服务。省市县三级科协党员干部响应号召，就地下沉社区，帮助开展管控和志愿服务，为打赢抗疫攻坚战贡献了科协智慧和力量疫情后期，湖北省科协将着力围绕疫情带来的各种社会风险隐患，动员和组织广大科技工作者，广泛开展有针对性的科学普及和心理疏导，科学精准防控疫情，及时妥善应对和化解风险隐患，助力有序复工复产，为维护社会稳定作出更大贡献。,http://www.cast.org.cn/art/2020/3/23/art_80_117399.html
“科技传播助力企业发展”网上路演行动工业大数据专场举办,3月19日下午，“科技传播助力企业发展”网上路演行动第4期--“工业大数据”专场活动成功举办，100余家投资机构代表观摩了路演，华山资本等40多家机构会后与路演项目进行了深入对接交流。本次专场旨在支持助力工业大数据领域中小企业在抗击新冠肺炎疫情、打赢防控阻击战的关键时期渡过难关，在经济社会发展中发挥更大作用。活动中，殷泊科技创始人鲁为民、云城数据创始人王轶捷、中科云创创始人周北川、江萃智能副总季建华进行了线上路演展示。殷泊科技是智能云平台产品和服务提供商，基于自主专利技术的“智能化PaaS云平台系统”得到业界认可。云城数据是一家提供企业级数据管理及应用服务的高新技术企业，此前面向大中华地区及海外受疫情影响地区，推出远程诊疗方案，缓解了诊疗资源压力。中科云创是专业的工业互联网应用平台服务商，应用案例已经覆盖消防、港口等十个行业领域，数据积累数千亿条。汇萃智能由美、日等海归专家创立，研发出了具有完全自主知识产权的通用视觉底层完整算法库。中国科协科技传播中心主任郑浩峻、中国投资协会副会长沈志群等作为主办方代表参加了会议。华山资本董事总经理官明杰、毅达资本合伙人周喆等投资机构代表进行了观摩互动，就进一步完善和优化企业经营管理、提升企业资产价值、提高市场核心竞争力等方面提出了一系列专业建议。清华大学数据科学研究院原执行副院长韩亦舜、清华大学数据科学研究院RONG研究员颜强等作为专家代表，结合路演项目的技术路线、产业特点和行业发展趋势进行了点评交流。本次活动由中国科协科技传播中心、中国投资协会创投委主办，清华校友三创大赛组委会等联合主办，优客工场、清华校友总会AI大数据专委会、中国科技产业化促进会AI大数据专委会、清数大数据产业联盟和创头条协办。“科技传播助力企业发展”网上路演行动依托“蝌蚪众传”、创头条等传播平台，旨在发挥传播优势，助力服务科技型企业，尤其是科技型中小企业的成长发展，用科技的力量为企业抗疫驰援，为产业振兴赋能。,http://www.cast.org.cn/art/2020/3/21/art_80_116930.html
中国科协培训和人才服务中心推出心理战疫系列网络直播课,3月10日，中国科协培训和人才服务中心（以下简称“人才中心”）联合中国心理学会共同组织发起的“新征途·心出发”心理战疫系列公开课陆续在腾讯视频平台直播，助力公众增强心理调适与自主学习能力，助力复工复产复学。科技云课堂系列公开课主要分为“打赢复工战”和“做学习的主人”2个系列10门课程，邀请来自北京师范大学、四川大学、中石油集团等机构的10名心理学专家，内容涵盖复工复产后员工心理情绪调节、恢复团队工作状态、提升工作效率，以及疫情期间家庭心理教育知识和技能等多个方面。3月10日，首期公开课在腾讯视频上线，四川大学心理学教授、中央电视台《心理访谈》栏目特聘顾问格桑泽仁针对复工复产期间如何加强心理管理、提升心理调适，从而提升工作效率与效果做交流指导。公开课已上线6期。直播课程受到公众的广泛关注，37万人次观看，很多观众在评论区纷纷点赞。应观众要求，课程将制作成微课程，在科协系统智能学习平台供科协系统干部在线学习，并推送到腾讯教育、腾讯课堂等平台供社会大众免费学习。为使云讲堂内容更具针对性，同时使中国科协党校教学资源进一步下沉基层，人才中心在活动筹备前期联合中国心理学会，浙江省、江苏省、湖南省、山东省、河南省、宁波市科协等地方科协，以及优客工场企业科协组织、湖南企业科协联合会创新联盟等深入调研了各方面需求。,http://www.cast.org.cn/art/2020/3/21/art_80_116928.html
内蒙古自治区党委领导对科协工作要点作出批示,3月12日，内蒙古自治区党委副书记、政法委书记林少春在内蒙古科协报送的2020年工作要点上作出批示，指出内蒙古科协2020年各项工作安排系统全面、重点突出、责任明确、措施有力，要求下一步抓好落实工作。2020年，内蒙古科协将着力强化对科技工作者的政治引领，抓好科协系统党员干部和科技工作者的学习培训，全面加强机关和学会党建工作，大力弘扬爱国奋斗精神；着力履行“四服务”职责定位，广泛开展高水平学术交流活动，建好用好科技工作者之家，提升学会服务创新能力，服务和支持企业创新发展，大力开展科普传播，加强科普设施建设，加快科普信息化建设步伐，做好建言献策工作，打造国内一流学术期刊；着力提升服务保障能力，深化科协系统改革，强化基层组织建设，打造专业化干部队伍，加强和改进工作作风，团结引领广大科技工作者奋力谱写新时代科协事业新篇章，为内蒙古自治区高质量发展做出新的贡献。,http://www.cast.org.cn/art/2020/3/20/art_80_116922.html
