title,main_body,link
物联网,物联网，万物互联，融合，互联，智能，芯片，互联网+，农业，传统行业，生态，服务，管理，通信，电子，一体化,https://www.cast.org.cn/
云计算,云计算，5G，云服务，云空间，云端，云盘，数据中心，服务器,https://www.cast.org.cn/
大数据,大数据，大规模，智能，海量，多种，形态，智慧中心，数据中心，高效，快速,https://www.cast.org.cn/
人工智能,人工智能，智能，自动，机器学习，深度学习，预测，辨别，识别，人脸，AI，算法，NLP，人工神经网络,https://www.cast.org.cn/
工业互联网,工业互联网，生态，工业，产业，商用，APP，服务，5G，区块链，物联网，信息，安全，通信,https://www.cast.org.cn/
信息安全,信息安全，网络安全，安全，解码，解密，加密，保密，公钥，密码，安全性，风险，危险，漏洞,https://www.cast.org.cn/
智能制造,智能制造，制造，深度，优化，精准，控制,https://www.cast.org.cn/
集成电路,集成电路，电子，电路，元件，硬件，器件，光电，仪器，芯片，传导，半导体，信号，硅,https://www.cast.org.cn/
北京物联网智能技术应用协会助力首农百果园农业物联网项目验收,疫情期间，为帮助会员单位相关项目的评审验收工作，为企业复工复产提供有力支撑，继续做好会员服务工作，北京物联网智能技术应用协会委派专家组赴会员单位北京康吉迅通科技有限公司承建的南农百果园农业物联网项目实地考察、评审、验收。日前，该项目已顺利通过专家组验收。该项目的建成后，在实际生产过程中减少了管理人员30%以上的工作量，工作效率提高了近60%，实现了企业转型升级、提质增效的最新范例。同时该项目的建设方案入围北京物联网智能技术应用协会、北京新型智慧农业研究院主办的2019年度智慧农业“种子工程”经典案例评选。虽然受今年的“新冠疫情”影响，为保证园区的正常生产，公司在确保人员安全的情况下，按照施工标准和时间进度，完成了该项目规定的全部内容。验收会上专家组详细听取了项目承建单位的介绍，并到园区生产现场对建设内容和设备使用情况进行查验，仔细审阅了验收报告等相关材料。经过充分的考察和讨论，专家组最终一致同意此项目通过现场验收。该项目为园区现有的设备设施进行了改造升级，完成了园区农业设施的智慧化与管理的数字化完美转型。为南农百果园提供了一整套农业物联网智能管理系统，对生态作物的健康成长和及时调整栽培、管理等措施提供了及时的科学依据，实现了监管的自动化。解决了大棚内的蔬果，从育苗到生产过程中棚内消毒、杀虫、灌溉、施肥、采光、通风、遮阳、监控等数据的智能采集、数据传输、数据追溯及自动化联动功能一体的解决方案，进而降低在生产过程中的人工成本以及技术要求不达标的根本问题。,http://www.cast.org.cn/art/2020/4/16/art_179_118824.html
北京移动5G、物联网等多项服务助力各行各业复工复产复学,疫情以来， 北京通信学会会员单位中国移动北京公司为了助力各行各业的复工进程，利用5G、物联网、大数据、人工智能等新技术，结合智能网络、产业链合作伙伴优势，针对不同行业的复工需求和疫情防控问题，推出多种定制产品和服务，保障各行业正常“复工、复产、复学”。 疫情期间，北京移动为北京市各级政府、医疗单位、学校和企业开展重要客户通信与信息化保障服务。其中，移动大数据应用得到国家卫健委的认可，对疫情防控起到了推进作用；移动政务云为“北京数字学校”保驾护航，服务北京乃至全国300万中小学师生；移动云视讯全国累计开通软终端627.4万用户，使用时长12.07亿分钟，有效保障了各单位的会议需求。 北京移动现已推出移动云系列产品，涵盖疫情防控、远程办公、舆情引导、远程医疗、在线教育五个模块，助力中小企业早日恢复生产。此外，在远程医疗方面，中国移动提供的5G智慧医疗解决方案打包了5G技术、远程诊断、互联网医院平台等多项功能，可为各地区医疗机构提供了有力的支撑，全力协助抗击疫情工作有序开展。此外，北京移动还持续为各行业提供安全网络接入助力远程办公。,http://www.cast.org.cn/art/2020/3/13/art_179_116197.html
第四届物联网照明大会在上海浦东召开,12月20日，由上海浦东新区科协、上海浦东智能照明联合会主办的第四届物联网照明大会在浦东举行。中国科学院院士褚君浩，中国工程院院士庄松林，中国照明学会秘书长窦林平，浦东科协常务副主席、党组书记顾兵，上海浦东智能照明联合会会长李志君等专家500多人参加本次论坛。李志君表示，通过4年的跨界交流、学习、合作，大家共识到物联网照明在智慧城市、智慧家居发展中发挥着重要的角色，大家的交流、学习、合作是物联网照明健康快速发展的有力的推动器，智能照明联合会将继续发挥这个推动器的重要角色。顾兵表示，伴随着5G新业态的布局，迎来了很好的发展方向及产业转型地带，智能照明单品迎来了爆发式新增长。浦东科协将一如既往支持智能照明联合会的各项发展，对智能跨界在“新思路、新协作、新业态”环境下的关注及支持。庄松林院士表示，上海浦东智能照明联合会作为跨界的优秀组织，把优秀的照明企业、物联网平台、运营商、新渠道方面聚在一起展开思想碰撞、产业融合，希望参会企业通过此次物联网照明大会，能更好地把握智能照明的发展方向、寻求更多的合作机会。褚君浩院士表示，上海浦东智能照明联合会在2019年发布了3本白皮书，对于目前处于渠道变革时间的经销商、代理商具有鲜明的指导意义，同时对于照明品牌生产企业服务经销商也具有一定的示范性。,http://www.cast.org.cn/art/2019/12/23/art_283_106932.html
第六期物联网产业ceo特训营活动在京举行,由北京物联网智能技术应用协会主办的品牌活动——第六期物联网产业CEO特训营在北京信息职业技术学院结束。本次特训营聚焦5G与物联网的创新融合发展，旨在加速5G技术在工业互联网、智能制造、智慧城市、智慧交通、智能电网、智慧农业等垂直领域的的创新与应用，进一步推动企业与产业的数字化智能化转型，吸引了来自全国智慧农业、智慧建筑、智慧园区等物联网垂直应用领域企业负责人及5G、物联网通信运营商、物联网解决方案提供商负责人参与学习。北京信息职业技术学院交通工程系副主任孙焕新出席开班仪式并致辞。北京物联网智能技术应用协会1.jpg本次特训营在师资选择及课程设置上进行了升级和完善，邀请工信部数字化转型赋能中心、原工业部信息中心信息通信研究所、中关村天合科技成果转化促进中心、瀚云科技等单位专家分别围绕物联网时代企业数字化转型的路径、5g时代物联网发展趋势与产业变革、物联网产业与智慧经济发展、物联网关键技术、商业模式及产业生态发展、企业物联网战略布局路径等课题为学员进行系统的授课，使学员在了解物联网基本概念、发展现状、关键技术的同时，更加深入的了解5G与物联网的前沿动态，实际应用场景与未来发展机遇。本次特训营首次采用5G融媒体直播的形式，让各位学员、会员能够真正身临其境的感受到5g技术的魅力及给社会生活带来的巨大变化。,http://www.cast.org.cn/art/2019/11/18/art_179_105260.html
共建泛在电力物联网 助力数字福州建设论坛在福州举办,10月24日，第十九届福建省科协年会专项活动共建泛在电力物联网助力数字福州建设论坛在福州举办。福建省科协党组成员、副主席鲁伟群，中国电机工程学会副秘书长申彦红，福州市委常委、福州市政府常务副市长林飞，福建省电机工程学会理事长、国网福建电力公司副总经理李功新等出席论坛并致辞。来自政府部门、科研院所、高等院校、电网企业、相关行业协（学）会、产业链上下游企业等130多家单位的270余名代表参会，共同为泛在电力物联网与智慧城市建设的融合发展实施路径建言献策、凝聚共识。论坛指出，大力推进能源与信息领域的协同创新和产业融合发展，推动电力行业数字化转型，构筑泛在电力物联网支撑智慧城市建设，对促进经济社会高质量发展具有重要意义。通过构建政企联合推动泛在电力物联网建设的模式，构建共治共赢的能源互联网生态圈，将为城市建设增添更多“智慧”和无限可能，让全社会共享发展成果。论坛上，中国工程院院士、全球能源互联网研究院院长汤广福，清华大学电机系教授夏清，长江学者、华北电力大学中国能源经济管理研究中心主任牛东晓，国网福州供电公司总经理、党委副书记郑佩祥等院士专家分别作《智能电网与泛在电力物联网关键技术问题》《泛在电力物联网开创电网新业态》《泛在电力物联网助推经济转型和民生服务》《泛在物联，引智惠民——福州泛在电力物联网建设的思考与实践》主旨报告。,http://www.cast.org.cn/art/2019/10/30/art_191_104442.html
山东电子学会卫生与健康物联网专委会助力中国重症医学信息化与互联网大会,4月12日，由山东省医师协会重症医学医师分会、山东省医学会重症医学分会联合主办，中国医学装备协会应急救治装备分会、山东电子学会卫生与健康物联网专委会协办，山东省立医院承办的第五届中国重症医学信息化与互联网大会暨2019年山东省重症医学学术年会在泉城济南召开。来自国内ICU、急诊科、麻醉科、呼吸科、儿科、产科、外科、神经科等相关专业医护人员共2000余人参加了此次大会，就重症医学的新理论、新技术和新方法等开展了广泛的探讨和交流。组建国际虚拟团队，实现“三动一不动”山东省立医院党委书记赵升田出席大会开幕式并致辞，他指出，当前物联网、互联网及信息化技术为医学发展带来了深刻变革，更为重症医学的大发展注入了新的生机与活力，山东省立医院重症医学科紧跟医学发展潮流，在2010年就开展了远程医疗，2011年开始着手建设EICU、远程ICU、移动ICU，2012年在国内率先建立云ICU，让更多的基层医务人员及基层重症病患受惠，探索出分级诊疗新的物联网模式，应用“云ICU”平台开展国内外学术交流、在线MDT病例讨论、国际国内远程会诊，有效地整合了世界重症医学的优质资源，为患者进行跨区域、多学科诊疗开创了全新的模式。希望在互联网+医疗政策推动下，在中国医师协会指导下，在省卫健委、省医师协会和省医学会领导下，在济南市卫健委的支持下，山东重症医学不断开拓进取，引领创新，积极开展重症医学云医疗，联通世界，为健康中国、健康山东做出贡献。大会以“重症医学云平台助力目的地医疗”为主题，“在重症医学云平台上，跨越科室、医院、地区、国家，整合世界资源，组建国际虚拟团队，为到达医疗机构的患者实施诊疗服务”。以患者为中心，围绕患者开展现场和在线诊疗，患者不动信息动，患者不动医护动，患者不动管理动（三动一不动），这一全新的理念由大会执行主席、山东电子学会卫生与健康物联网专委会主任委员、山东省立医院重症医学科主任王春亭教授提出。,http://www.cast.org.cn/art/2019/4/25/art_193_94531.html
